title,link,number_of_citation,article_type,publisher,publication_date,abstract,keyword,Unnamed: 0
Joint Assignment and Scheduling for Minimizing Age of Correlated Information,https://dl.acm.org/doi/10.1109/TNET.2019.2936759,6,research-article,ACM,2019,"Age of information has been recently proposed to quantify the freshness of information, e.g., in cyber-physical systems, where it is of critical importance. Motivated by wireless camera networks where multi-view image processing is required, in this paper we propose to extend the concept of age of information to capture packets carrying correlated data. We consider a system consisting of wireless camera nodes with overlapping fields of view and a set of processing nodes, and address the problem of the joint optimization of processing node assignment and camera transmission scheduling, so as to minimize the maximum peak age of information from all sources. We formulate the multi-view age minimization MVAM problem, and prove its NP-hardness under the two widely used interference models as well as with given candidate transmitting groups. We provide fundamental results including tractable cases and optimality conditions of the MVAM problem for two baseline scenarios. To solve MVAM efficiently, we develop an optimization algorithm based on a decomposition approach. Numerical results show that by employing our approach the maximum peak age is significantly reduced in comparison to a traditional centralized solution with minimum-time scheduling.",none,
Energy-Efficient Compressed Sensing in Cognitive Radio Network for Telemedicine Services,https://dl.acm.org/doi/10.1155/2023/5415616,0,research-article,ACM,2023,"Wireless body area networks (WBAN) are becoming a promising solution for health care applications. WBAN allows monitoring of patients continuously in their own comfort zone. These devices use the industrial, scientific, and medical band (ISM) for communication. This band is overcrowded due to the increasing number of wireless medical devices and other wireless devices occupying this band. This causes interference, which can be damaging and could result in a change in received power. However, WBAN also needs minimum and reliable energy communication for a longer lifetime and improved quality of service. This work addresses both problems and proposes solutions for the same. A cognitive radio controller is employed as a centralized controller with dynamic spectrum allocation properties to mitigate the interference. The sensing of the spectrum is based on compressed sensing with a nonreconstruction model to save energy. To quantify interference measurement, the interference mitigation factor is introduced. Further, to increase energy efficiency, the K-means algorithm is used to cluster WBANs. However, critical emergency data and normal data are categorized as priority data and normal data, respectively, by the proposed priority scheduling algorithm. The performance of this cognitive radio-based system for telemedicine applications is analyzed through simulations. The simulations are performed using MATLAB 2019.",none,
SDMA: A SDN-based Architecture of Multi-modal AUVs Network,https://dl.acm.org/doi/10.1145/3393527.3393558,1,research-article,ACM,2020,"Underwater sensor networks would reap multiple benefits by extending the principles of software-defined networking (SDN) to it, such as programmable and reconfigurable network, enhanced network management and efficiency. However, there are several challenges need to be tackled in the SDN-enabled underwater network design process, especially for underwater mobile networks. Different from the terrestrial wireless sensor networks (WSNs), it is difficult to implement reliable centralized control as underwater wireless sensor networks (UWSNs) typically operate in the harsh ocean environment via band-limited acoustic channels. To cope with the problem, in this paper, we explore hybrid solutions and try to reap advantages of both centralized and distributed control. We proposed a semi-centralized control model for multi-modal mobile autonomous underwater vehicle (AUV) networks which are equipped with multiple communication systems (e.g., optical and acoustic). We present the initial research of the network model and the intelligent control architecture, and hope to inspire more research in the SDN-based mobile multi-modal AUV networks.",none,
Private key agreement and secure communication for heterogeneous sensor networks,https://dl.acm.org/doi/10.1016/j.jpdc.2010.03.009,10,article,ACM,2010,"Key management is an important building block for all security operations in sensor networks. Most existing key management schemes try to establish shared keys for all pairs of neighbor sensors; hence, a large number of keys need to be preloaded on each sensor, which necessitates a large key space for the nodes in the network. The recent trend in research is to mainly consider homogeneous sensor networks, and to a lesser degree heterogeneous sensor networks, for key management. In this paper, we propose a novel key agreement protocol which is based on pairing-based cryptography over an elliptic curve. Using this protocol, any two nodes that need to communicate can independently compute the same secret key by using pairing and identity-based encryption properties. The proposed protocol significantly reduces the key space of a node. Additionally, the security analysis of the proposed protocol shows that it is robust against a number of attacks including wormhole attack, masquerade attacks, reply attacks, and message manipulation attacks.",none,
An exploration of aggregation convergecast scheduling,https://dl.acm.org/doi/10.1016/j.adhoc.2013.06.004,6,article,ACM,2013,"We consider the problem of aggregation convergecast scheduling as it applies to wireless networks. The solution to aggregation convergecast satisfies the aggregation process, expressed as precedence constraints, combined with the impact of the shared wireless medium, expressed as resource constraints. Both sets of constraints influence the routing and scheduling. We propose an aggregation tree construction suitable for aggregation convergecast that is a synthesis of a tree tailored to precedence constraints and another tree tailored to resource constraints. Additionally, we show that the scheduling component can be modeled as a mixed graph coloring problem. Specifically, the extended conflict graph is introduced, and through it, a mapping from aggregation convergecast to mixed graphs is described. In the mixed graph, arcs represent the precedence constraints and edges represent the resource constraints. The mixed graph chromatic number corresponds to the optimal schedule length. Bounds for the graph coloring are provided and a branch-and-bound strategy is subsequently developed from which we derive numerical results that allow a comparison against the current state-of-the-art heuristic.",none,
A Survey on Unmanned Aerial Vehicles-Assisted Internet of Things: A Service-Oriented Classification,https://dl.acm.org/doi/10.1007/s11277-021-08294-6,4,research-article,ACM,2021,"Unmanned Aerial Vehicles (UAVs) are well-developed technologies that were first utilized for military applications such as border monitoring and reconnaissance in hostile territories. With the advancement of the Internet of Things (IoT) systems and smart mobile devices, several applications in various industrial, agricultural, smart homes, smart cities, smart transportation, etc. domains have emerged. These applications usually require broad coverage, high energy consumption, computation-intensive processing, and access to rich data gathered by sensor devices. UAVs’ inherent features such as high dynamicity, low deployment and operational costs, quick deployment, and line of sight communication have motivated researchers in the IoT domain to consider UAVs integration into IoT systems toward the notion of UAV-assisted IoT systems. In this paper, recent literature on UAV-assisted services in IoT environments is studied. A service-oriented classification is applied in order to categorize the presented schemes into four broad domains of UAV-assisted data-related services, UAV-assisted battery charging, UAV-assisted communications, and UAV-assisted Mobile Edge Computing (MEC). The literature belonging to each category is summarized with respect to their main points. Finally, some possible future directions are discussed to highlight the challenges associated with designing UAV-assisted IoT systems.",none,
Multi-echelon Vehicle Routing Problem in Sensor-Cloud Architecture with Mobile Sinks,https://dl.acm.org/doi/10.1007/978-3-030-68884-4_20,0,Article,ACM,2020,"The sensor-cloud architecture rises the opportunity to overcome intrinsic shortages of wireless sensors, such as computing capacity, storage space and communication range. However, before realizing these complementary effects of cloud computing, there is a challenge of how to plan efficient routes for mobile sinks to gather distributedly sensed data to centralized computing resources on cloud, especially where practical environment limits the travelling range of mobile sinks. This paper models the route planning problem into multi-echelon vehicle routing problem, and formulates it into integer linear programming. To solve this problem, a GPU-based parallel algorithm is proposed. The experimental results verify the accuracy and efficiency of the algorithm.",none,
Possible adoption of various machine learning techniques in cognitive radio - a survey,https://dl.acm.org/doi/10.1504/ijaip.2021.113782,0,research-article,ACM,2021,"The concept of cognitive radio (CR) system is the need for next generation wireless communication technology in terms of providing intelligence and superior performance to a wireless device. The CR is mainly an intelligent system which is aware of its environment and is well capable to adapt in accordance with the changing environment and user needs. The concept of adaptation of the communication system can be realised well with machine learning capability inculcated within the system. It is a well-known fact that, the key strengths of any machine learning paradigm is its ability to adapt with respect to the dynamic changing system parameters. In this paper, an attempt has been made to compile various applications of machine learning techniques for different activities of CR cycle. Further, this note reviews the work on development of machine learning techniques for spectrum sensing of CR in order to make the CR system as a whole practically feasible and robust, thus mitigating its existing computational limitations due to the use of conventional techniques.",none,
On the usefulness of flying base stations in 5G and beyond scenarios,https://dl.acm.org/doi/10.1007/s11276-023-03445-y,0,research-article,ACM,2023,"Considering that one of the goals of the future network generations is to provide ubiquitous communication in the most diverse scenarios to achieve high connection coverage, it is foreseen that the use of unmanned aerial vehicles as flying base stations (UAV-BSs) can potentially extend the network and communication range. UAVs as flying base station can bring the potential to assist user devices and vehicles by carrying communication resources that can accommodate clients that were not previously planned by the ground infrastructure design due to flash crowd events, sudden natural disasters, or any other event that let to an overloaded environment. Allocating UAVs as flying base station still poses significant challenges in their deployment and the effectiveness of information transmission through UAVs as flying base station in the context of wireless communication since it is necessary to deal with both wireless communication capability and interference in the presence of terrestrial infrastructures already present. Besides, it is essential to understand how communication resources affect network performance. This paper studies the feasibility of using UAVs as flying base station in the assistance of wireless communication in a scenario where there is a sudden demand for data transmission due to possible congestion of local infrastructure. We show how the number of communication resources provided by the UAV-BS, the interference caused by the presence of multiple next generation node Bs (gNBs), and the UAV as flying base station positioning affect the network performance. We also highlight the need for a better next generation node B (gNB) and UAVs placement criteria since the received signal power prevents the user equipments (UEs) from using most of the available resources.",none,
A Survey on Information-Centric Networking with Cloud Internet of Things and Artificial Intelligence,https://dl.acm.org/doi/10.1155/2022/7818712,2,review-article,ACM,2022,"The Internet is evolving, and data is a critical component of today’s Internet. People are more interested in data than data location. An information-centric network (ICN) uses this idea and makes data, instead of host addresses, an integral component. Another essential topic in the contemporary period is cloud or edge computing, as well as the Internet of Things (IoT) and Artificial Intelligence (AI), which becomes even more critical when combined with ICN. We initially rate the configuration of ICN with cloud or edge IoT and AI (ICN-CIoT-AI) in this study so that readers may learn about the latest trends and merging of ICN-CIoT-AI. As data rates rise and the Internet becomes a requirement for any technology, we require IoT settings in which data can be cached locally, which is possible when ICN collaborates with cloud or edge computing. To make this arrangement more intelligent, we require AI, and machine learning algorithms can help to overcome many obstacles. In this paper, we first discuss ICN, its deployment, and its unique features that distinguish it from its archrival TCP/IP. We then present the most recent research on ICN-CIoT-AI and provide a comprehensive analysis of this domain in terms of technology, AI/ML domain, IoT, and cloud technology. The study framework, simulation software, and results achieved by the researchers are also listed. Finally, we explore three broad categories of open issues and challenges raised by the researchers: security, performance, and in-network caching. We also exhibit the technologies that were employed in the study.",none,
Stacking ensemble approach for DDoS attack detection in software-defined cyber–physical systems,https://dl.acm.org/doi/10.1016/j.compeleceng.2023.108635,1,research-article,ACM,2023,"Distributed Denial of Service (DDoS) attacks are common and increasing in frequency. It renders the service inaccessible to legitimate users and degrades network performance. A complex structural environment called a Cyber–Physical System (CPS) is created by combining computation, connectivity, and physical parameters. Software-Defined Networking (SDN) is an emerging architecture that separates the data plane from the network plane. A central logic control resides in the control plane, making SDN vulnerable to DDoS attacks. SDN design ideas are broadened and applied to create software-defined Cyber–Physical Systems. Deep learning powers many artificial intelligence apps and services, enhancing automation by performing cognitive tasks without human intervention. It can perform feature extraction and classification on both small and large datasets. This paper presents a variety of Deep Learning models for efficiently detecting DDoS attacks in the SD-CPS framework through a scalable and adaptable SDN-based architecture. We could determine which Deep Learning techniques work best under various attack scenarios by examining multiple Deep Learning techniques. The Deep Learning models performed above 99% accuracy in classifying binary and multiclass data over unknown traffic when tested on two recent security datasets, the SDN-specific dataset and the CICDDoS2019 dataset.Graphical abstractDisplay OmittedHighlights•The paper utilizes two datasets, one tailored to SDNs and the CICDDoS2019 dataset.•Three distinct deep learning approaches identify binary and multiclass attacks.•The binary accuracy is over 99% for the datasets, which is better than prior studies.•Multiclass detects attack type with accuracy greater than 99±% for both datasets.•The individual accuracy for type of attack ranges between 98%–99% in most cases.",none,
Quality of Service in mobile ad hoc networks: a survey,https://dl.acm.org/doi/10.1504/IJAHUC.2010.034322,12,article,ACM,2010,"To support multimedia applications, it is desirable that an ad hoc network has a provision of Quality of Service (QoS). However, the provision of QoS in a mobile ad hoc network is a challenging task. In this paper, we present a review of the current research related to the provision of QoS in an ad hoc environment. We examine issues and challenges involved in providing QoS in an ad hoc network. We discuss methods of QoS provisioning at different levels including those at the levels of routing, Medium Access Control (MAC), and cross layer. Also, we discuss schemes for admission control and scheduling that are proposed in the literature for the provision of QoS. We compare salient features of various solutions and approaches and point out directions for future work.",none,
Technical Report Column,https://dl.acm.org/doi/10.1145/3494656.3494661,0,research-article,ACM,2021,"Welcome to the Technical Reports Column. If your institution publishes technical reports that you'd like to have included here, please contact me at the email address above.",none,
Fuzzy Logic Based Reliable and Real-Time Routing Protocol for Mobile Ad hoc Networks,https://dl.acm.org/doi/10.1007/s11277-017-4885-9,14,article,ACM,2018,"MANET (mobile ad-hoc network) includes a set of wireless mobile nodes which communicate with one another without any central controls or infrastructures and they can be quickly implemented in the operational environment. One of the most significant issues in MANETs is concerned with finding a secure, safe and short route so that data can be transmitted through it. Although several routing protocols have been introduced for the network, the majority of them just consider the shortest path with the fewest number of hops. Hop criterion is considered for simple implementation and it is reliable in dynamic environments; however, queuing delay and connection delay in the intermediate nodes are not taken into consideration for selecting route in this criterion. In this paper, a fuzzy logic-based reliable routing protocol (FRRP) is proposed for MANETs which selects stable routes using fuzzy logic. It is able to optimize system efficiency. The score allocated to routes are based on four criteria: accessible bandwidth, the amount of energy of battery, the number of hops and the degree of dynamicity of nodes. The simulation results obtained from OPNET simulator version 10.5 indicate that the proposed protocol, in comparison with ad hoc on-demand distance vector (AODV) and fuzzy-based on-demand routing protocol (FBORP), was able to better improve packet delivery rate, average end-to-end delay and throughput.",none,
Review: Energy efficient wireless unicast routing alternatives for machine-to-machine networks,https://dl.acm.org/doi/10.1016/j.jnca.2011.02.005,8,article,ACM,2011,"Machine-to-machine (M2M) communications is a new and rapidly developing technology for large-scale networking of devices without dependence on human interaction. Energy efficiency is one of the important design objectives for machine-to-machine network architectures that often contain multi-hop wireless subnetworks. Constructing energy-efficient routes for sending data through such networks is important not only for the longevity of the nodes which typically depend on battery energy, but also for achieving an environmentally friendly system design overall, which will be imperative as M2M networks scale in number of nodes as projected. The objective of this survey is to provide a comprehensive look into shortest-path based energy-efficient routing alternatives to provide a reference for system designers as well as researchers. We start by describing M2M and its application areas, as well as its challenges. Next, a detailed account of energy-efficient unicast routing alternatives, with a particular focus on those based on additive link cost is given. Following a novel comprehensive classification of shortest-path-based energy-efficient routing algorithms designed for wireless ad hoc and sensor networks, we end by comparisons and discussions of the use of different cost metrics.",none,
Real-time data gathering in sensor networks,https://dl.acm.org/doi/10.1016/j.dam.2009.11.001,2,article,ACM,2010,"Wireless sensor networks represent a new generation of real-time traffic communications and high data rate sensor applications, such as structural health monitoring and control. We study some problems related to data gathering in sensor networks when the sensors collect the sensed data about their environment and this information should be delivered to a collecting central Base Station. We prove that scheduling messages through the network to minimize the maximal delivery time with restrictions on the total idle time allowed is NP-hard. We also refer to a special case of linear network topology for which we present two polynomial time optimization algorithms: One is for minimizing the maximal lateness and maximal delay, while the other is for minimizing the number of tardy messages.",none,
"A comprehensive survey on deep neural networks for stock market: The need, challenges, and future directions",https://dl.acm.org/doi/10.1016/j.eswa.2021.114800,30,review-article,ACM,2021,"ts•The need of deep neural networks for stock price and trend prediction is discussed.•CNN, DQN, RNN, LSTM, GRU, ESN, DNN, RBM, and DBN are reviewed for stock prediction.•An experimental comparison of nine models is carried out and results are analysed.•The prediction performance of considered models are compared with existing approach.•The challenges and potential future research directions are also provided.AbstractThe stock market has been an attractive field for a large number of organizers and investors to derive useful predictions. Fundamental knowledge of stock market can be utilised with technical indicators to investigate different perspectives of the financial market; also, the influence of various events, financial news, and/or opinions on investors’ decisions and hence, market trends have been observed. Such information can be exploited to make reliable predictions and achieve higher profitability. Computational intelligence has emerged with various deep neural network (DNN) techniques to address complex stock market problems. In this article, we aim to review the significance and need of DNNs in the field of stock price and trend prediction; we discuss the applicability of DNN variations to the temporal stock market data and also extend our survey to include hybrid, as well as metaheuristic, approaches with DNNs. We observe the potential limitations for stock market prediction using various DNNs. To provide an experimental evaluation, we also conduct a series of experiments for stock market prediction using nine deep learning-based models; we analyse the impact of these models on forecasting the stock market data. We also evaluate the performance of individual models with different number of features. We discuss challenges, as well as potential future research directions, and conclude our survey with the experimental study. This survey can be referred for the recent perspectives of DNN-based stock market prediction, primarily covering research spanning over years 2017 - 2020.",none,
Optimized pollard route deviation and route selection using Bayesian machine learning techniques in wireless sensor networks,https://dl.acm.org/doi/10.1016/j.comnet.2022.109228,0,research-article,ACM,2022,"Optimal route selection and circumventing the route deviation is essential in sensor transmission to reach the destination properly and to save energy in sensors. Wireless sensor networks (WSNs) play an indispensable role to achieve faster communication. Sensors are tiny devices which can store less power and need the power to be retained until final communication. The main need is to achieve routing of the sensors while performing the data transmission should be taken care. Optimal routing technique is necessitated to transfer data from sensors in the clusters and to the central station. The main focus is to dwindle the battery power consumption and increase the network life time. In this proposed work, the route deviation is pollard by Bayesian machine learning technique which uses the posterior distribution incrementally when new evidence is occurred. The approach calculates the conditional probability using the prior knowledge to determine the route deviation and optimal route. The methodology mainly focuses on parameters like, end-to-end delay, detection of route deviation, optimal route selection and network life time. The experimental results of proposed Optimal Pollard Route Deviation using Bayesian (OPDB) protocol focuses on the evaluation metrics of machine learning algorithm in terms of accuracy and error rate. The proposed algorithm is 28.5% better in minimizing the route deviation, 86.67% improved route selection, delay is very much minimized up to 07.12% and the 93.87% improved network life time compared with other routing algorithms. The route deviation detection is 14.5% improved, optimal route selection is improved by 31.84%, delay is minimized by 20.32% and network lifetime is increased by15.24% while using the OPDB algorithm.",none,
Soft Computing for Intelligent Edge Computing,https://dl.acm.org/doi/10.1016/j.asoc.2022.109628,0,editorial,ACM,2022,No abstract available.,none,
Front Matter,https://dl.acm.org/doi/10.5555/978-3-030-84522-3_fm,0,front-matter,ACM,2021,No abstract available.,none,
Performance issues and solutions in SDN-based data center: a survey,https://dl.acm.org/doi/10.1007/s11227-020-03180-7,15,research-article,ACM,2020,"Due to the development of the Internet and the smart end systems such as smartphones, portable laptop, and other smart mobile devices, as well as the emergence of concepts such as cloud computing, social networks, and Internet of Things, 4G and 5G have changed network requirements. A software-defined network (SDN) is a new architecture to support new network requirements. This architecture is composed of three layers, data, control, and application plane. A lot of papers have been published in well-known journals to improve network performance, so we classify the solutions for performance improvement based on three SDN layers and three SDN-based spheres which are (a) SDN-data center, (b) wireless networks, and (c) software-defined wide area network. This paper surveys the articles which have been published by Springer, IEEE, Elsevier, and ACM. We extract the performance improvement solutions and resources which are required for performance control and the metrics to evaluate the network performance. This article can help network enthusiasts to better understand, investigate, and improve the performance of SDN-based networks.",none,
Special issue,https://dl.acm.org/doi/10.1016/j.comcom.2013.04.001,1,research-article,ACM,2013,No abstract available.,none,
Latency improvement strategies for reliability-aware scheduling in Industrial Wireless Sensor Networks,https://dl.acm.org/doi/10.1155/2015/178368,0,article,ACM,2015,"We propose novel strategies for end-to-end reliability-aware scheduling in Industrial Wireless Sensor Networks (IWSNs). Because of stringent reliability requirements in industrial applications where missed packets may have disastrous or lethal consequences, all IWSN communication standards are based on Time Division Multiple Access (TDMA), allowing for deterministic channel access on theMAC layer. We therefore extend an existing generic and scalable reliability-aware scheduling approach by the name of SchedEx. SchedEx has proven to quickly produce TDMA schedules that guarantee a user-defined end-to-end reliability level ρ for all multihop communication in a WSN. Moreover, SchedEx executes orders of magnitude faster than recent algorithms in the literature while producing schedules with competitive latencies. We generalize the original problem formulation from single-channel to multichannel scheduling and propose a scalable integration into the existing SchedEx approach. We further introduce a novel optimal bound that produces TDMA schedules with latencies around 20% shorter than the original SchedEx algorithm. Combining the novel strategies withmultiple sinks, multiple channels, and the introduced optimal bound, we could through simulations verify latency improvements by almost an order of magnitude, reducing the TDMA superframe execution times from tens of seconds to seconds only, which allows for a utilization of SchedEx for many time-critical control applications.",none,
Increasing Aggregation Convergecast Data Collection Frequency through Pipelining,https://dl.acm.org/doi/10.1155/2018/1539642,0,research-article,ACM,2018,"We consider the problem of increasing the data collection frequency of aggregation convergecast. Previous studies attempt to increase the data collection frequency by shortening the completion of a single data collection cycle. We aim at increasing the frequency at which data collection updates are collected by the use of pipelining and, consequently, increasing the overall data collection frequency and throughput. To achieve this, we overlap the propagation schedule of multiple data snapshots within the same overall schedule cycle, thus increasing parallelism through pipelining. Consequently, the effective data collection time of an individual snapshot may span over multiple, successive, schedule cycles. To this end, we modify the aggregation convergecast model, decoupling schedule length, and data collection delay, by relaxing its precedence constraints. Our solution for this new problem involves the unconventional approach of constructing the schedule before finalizing the exact form of the data aggregation tree, which, in turn, requires that the schedule construction phase guarantees that every node can reach the sink. We compare our results using snapshot pipelining against a previously proposed algorithm that also uses a form of pipelining, as well as against an algorithm that though lacking pipelining, exhibits the ability to produce very short schedules. The results confirm the potential to achieve a substantial throughput increase, at the cost of some increase in latency.",none,
A survey on energy efficiency in underwater wireless communications,https://dl.acm.org/doi/10.1016/j.jnca.2021.103295,5,review-article,ACM,2022,"Underwater wireless communication (UWC) networks have attracted substantial attention in recent years. UWC can facilitate critical emerging services including communications for: Autonomous Underwater Vehicles (AUVs) and Remotely Operated Vehicles (ROVs), environmental monitoring, surveillance, navigation, and exploration. Most UWC devices are battery-powered, where recharging/swapping batteries is not straightforward. Since the reliability of a UWC network depends on limited energy storage, energy-efficient communication is critical for its operation. Whilst communication range and data rate in UWC have been popular research topics, until recently, this energy-efficiency aspect of UWC has not received the same level of attention. In this paper, we provide a comprehensive literature review on existing contributions in the area of energy-efficient UWC. At first, we provide a detailed overview of UWC network architectures and relevant challenges for UWC networks. Next, we discuss and compare the most commonly-used UWC physical layer technologies, reviewing the existing physical layer power-saving techniques proposed in the literature. Then, we review various energy-saving techniques in the upper layers, including Medium Access Control (MAC) protocols, routing protocols, and localization techniques. Lastly, we provide a detailed discussion of alternative energy sources in UWC networks before highlighting future research directions in the field and challenges related to the widespread adoption of the Internet of Underwater Things (IoUT).",none,
Swarm intelligence for next-generation networks: Recent advances and applications,https://dl.acm.org/doi/10.1016/j.jnca.2021.103141,4,review-article,ACM,2021,"In next-generation networks (NGN), a very large number of devices and applications are emerged, along with the heterogeneity of technologies, architectures, mobile data, etc., and optimizing such a network is of utmost importance. Besides convex optimization and game theory, swarm intelligence (SI) has recently appeared as a promising optimization tool for wireless networks. As a new subdivision of artificial intelligence, SI is inspired by the collective behaviors of societies of biological species. In SI, simple agents with limited capabilities can achieve intelligent strategies for high-dimensional and challenging problems, and thus SI has recently found many applications in NGN. However, SI techniques have still not fully investigated in the literature, especially in the contexts of wireless networks. In this work, our primary focus will be the integration of these two domains, i.e., NGN and SI. Firstly, we provide an overview of SI techniques from fundamental concepts to well-known optimizers. Secondly, we review the applications of SI to settle emerging issues in NGN, including spectrum management and resource allocation, wireless caching and edge computing, network security, and several other miscellaneous issues. Finally, we highlight challenges and issues in the literature, and introduce some interesting directions for future research.",none,
AI and Blockchain Enabled Future Wireless Networks: A Survey And Outlook,https://dl.acm.org/doi/10.1145/3644369,1,research-article,ACM,2024,"Due to the explosion of mobile users and the ever-increasing heterogeneity and scale of wireless networks, traditional communication protocols and optimizing methods can not satisfy future wireless network (FWN) requirements. As promising technologies, artificial intelligence (AI) and blockchain are deemed as the solution for the FWN. AI, famous for its big data processing ability, will enable the FWN to self-update itself to better adapt to the dynamic network condition. Blockchain, as a distributed ledger, can guarantee data integrity, security and privacy. In this survey, we overview the concept of AI and blockchain and present their state-of-the-art applications in wireless networks. The potential of AI and blockchain is still huge and waiting to be fully explored in wireless networks. Therefore, we introduce how AI and blockchain can assist each other in FWNs. Furthermore, we explore the current constraints of applying both technologies in the FWNs. In the final part, we discuss the future direction of the deployment of AI and blockchain in FWNs.",none,
Towards green machine learning for resource allocation in beyond 5G RAN slicing,https://dl.acm.org/doi/10.1016/j.comnet.2023.109877,0,research-article,ACM,2023,"The new generation of mobile communications, 5G, has been rolled out. While basic features were successively implemented, more complex ones have been left aside for a new release. Such is the case of RAN slicing, which enables the division of a radio infrastructure into software-controlled logical networks. Among the technical difficulties is the radio resource allocation since slices can be attached to contract agreements with network performance targets, and the number of resources required to support the performance varies with the signal quality of the connected devices. Machine learning solutions can predict the number of radio resources needed based on the current state of the network. Our previous work, KPI-Converter, addressed this issue with densely connected neural networks. However, amid the current global energy crisis, we should focus on more green machine learning solutions that can achieve similar performance with much lower usage of computational resources. In this work, we present KPIC-Lite, a solution for resource allocation for RAN slicing that consumes 700 to 1000 times fewer resources than our previous work while performing similarly in most tested scenarios. We introduce a new asymmetric loss function that significantly boosts convergence compared to a-OMC, the state-of-the-art loss function for operator monetary costs. Another bonus compared to a-OMC is its ability to use second-order optimisers efficiently. The second-order optimiser used in our work reduced the computational resources of the solution.",none,
Artificial Intelligence-Based English Vocabulary Test Research on Cognitive Web Services Platforms: User Retrieval Behavior of English Mobile Learning,https://dl.acm.org/doi/10.4018/IJeC.316656,0,article,ACM,2023,"Automated interaction between agents necessitates the ability of these agents to discover and select from a set of similar (or identical) services. As a result, trust is used to assess the quality of different cognitive web services. Therefore, this paper proposes artificial intelligence-based English vocabulary test research (AI-EVTR) to overcome the student's requirement. Further, pre-test behavior analysis has been introduced to enhance the apps. Before and after the test period, both groups took a pre-test behavior analysis and post-test log analysis “Vocabulary Test in English.” The experimental group used an app-assisted English vocabulary questionnaire to share their points; they were not extremely motivated in the app-assisted approach using machine learning. Statistical approaches comprising independent samples were used to analyze the acquired data. The experimental group greatly improved between the pre-test and post-test in spelling. Language learning on the website can be an option.",none,
Improving network lifetime and speed for 6LoWPAN networks using machine learning,https://dl.acm.org/doi/10.1504/ijista.2020.110006,0,research-article,ACM,2020,"Wireless communication networks have an inherent optimisation problem of effectively routing data between nodes. This problem is multi-objective in nature, and covers optimisation of routing speed, the network lifetime, packet delivery ratio and overall network throughput. In this paper, a machine learning (ML)-based algorithm is proposed with an objective to minimise the network delay and increase network lifetime for 6LoWPAN networks based on RPL routing. The ML-based approach is compared with normal RPL routing in order to check the performance of the system when compared to recent routing protocols. It is observed that the proposed machine learning-based approach reduces the network delay by more than 20% and improves the network lifetime by more than 25% when compared to RPL-based 6LoWPAN networks. The machine learning approach also takes into account the link quality between the nodes, thereby improving the overall QoS of the communication system by selecting paths with minimal delay, minimal energy consumption and maximum link quality.",none,
FAMACRO: Fuzzy and Ant Colony Optimization Based MAC/Routing Cross-layer Protocol for Wireless Sensor Networks,https://dl.acm.org/doi/10.1016/j.procs.2015.01.012,1,research-article,ACM,2015,"This paper presents Fuzzy and Ant Colony Optimization (ACO) based MAC/Routing cross-layer protocol (FAMACRO) for Wireless Sensor Networks that encompases cluster head selection, clustering and inter-cluster routing protocols. FAMACRO uses fuzzy logic with residual energy, number of neighboring nodes and quality of communication link as input variables for cluster head selection. To avoid “hot spots”, FAMACRO uses an unequal clustering mechanism with clusters closer to master station having smaller sizes than those far from it. Finally, ACO techinque is used for reliable and energy-efficient inter-cluster routing from cluster heads to master station. The inter-cluster routing protocol decides relay node considering its residual energy, distance from current cluster head, distance from master station and packet reception rate. A comparative analysis of FAMACRO with Distributed Energy Efficient Hierarchical Clustering, Unequal Hybrid Energy Efficient Distributed Clustering, Energy Efficient Unequal Clustering and Improved Fuzzy Unequal Clustering protocol shows that FAMACRO is 82% more energy-efficient, has 5% to 30% more network lifetime and sends 91% more packets compared to Improved Fuzzy Unequal Clustering protocol.",none,
Balancing optimization for disassembly line of mixed homogeneous products with hybrid disassembly mode,https://dl.acm.org/doi/10.1016/j.cie.2023.109646,1,research-article,ACM,2024,"ts•Establish a balancing optimization model for multi-product hybrid disassembly mode.•Develop an improve discrete flower pollination algorithm based on the problem.•Compare with other methods indicating the effectiveness of the proposed algorithm.•Apply the proposed algorithm to solve a real-world refrigerator disassembly case.AbstractThis study addresses the actual disassembly situation where homogeneous products with similar structures are usually mixed on one disassembly line for disassembly. And the destructive disassembly mode is added to the disassembly process to better match the actual disassembly situation. A mixed integer programming model is established to optimize the disassembly line of mixed homogeneous products with hybrid disassembly mode. The model focuses on the objectives of optimizing the number of workstations, smoothness index, energy consumption, and profit. The disassembly mode is guided by the objective results to execute the final decision to better adapt to real-world disassembly situations. Combining problem characteristics and objective attributes, this study presents an improve discrete flower pollination algorithm. The performance of the proposed algorithm in solving different scale cases is verified by comparing the results of six algorithms for 10-task example, nine algorithms for 25-task example, and four algorithms for 52-task example in the existing literature. In addition, the proposed model and algorithm are applied to a practical refrigerator case. The obtained results are compared with the results of several classical algorithms for solving this case, which further verifies that the proposed algorithm has better performance in solving the practical problem. And the workstation time utilization rate of all schemes is over 98.68%. Finally, the specific allocation of the obtained schemes can provide valuable references for decision-makers.",none,
